"Cabernet Sauvignon","1148"
"Bordeaux Red Blends","708"
"Chenin Blanc","77"
"Rosé","349"
"Bordeaux White Blends","41"
"Vintage","119"
"Zinfandel","232"
"Rhone Red Blends","275"
"Merlot","233"
"Syrah/Shiraz","391"
"Sauvignon Blanc","440"
"Other Dessert","79"
"Dolcetto","18"
"Sherry","42"
"Gewurztraminer","36"
"Sangiovese","316"
"Muscat","59"
"Pinot Blanc","27"
"Other Red Wine","194"
"Torrontes","22"
"Nebbiolo","150"
"Vermouth","10"
"Gruner Veltliner","27"
"Junmai","10"
"Semillon","7"
"Tempranillo","205"
"Riesling","228"
"Viognier","45"
"White Zinfandel","4"
"Cabernet Franc","54"
"Grenache","93"
"Petite Sirah","56"
"Madeira","11"
"Nero d'Avola","24"
"Other White Blends","159"
"Pinot Noir","982"
"Chardonnay","900"
"Albarino","42"
"Liqueur","1"
"Pinot Gris/Grigio","178"
"Fruit Wine","8"
"Non-Vintage","275"
"Pinotage","13"
"Junmai-Daiginjo","4"
"Other White Wine","212"
"Malbec","196"
"Rhone White Blends","51"
"Primitivo","17"
"Gamay","66"
"Other Red Blends","761"
"Junmai-Ginjo","6"
"Barbera","53"
"Mourvedre","26"
"Carmenere","42"
"Port","110"
